Teacher ID,Grade-Section,Subject,Periods Per Week,Fixed Periods,Mode
AKH,"Grade-III-A,Grade-IV-A,Grade-V-A,Grade-V-B",MTH,6,,
AKH,Grade-IV-B,MTH,6,P1,
APA,Grade-I-A,ENG,6,P1,
APA,"Grade-I-B,Grade-II-A,Grade-II-B,Grade-III-B",ENG,6,,
DEE,"Grade-IV-A,Grade-IV-B,Grade-V-A",SCI,5,,
DEE,Grade-V-B,SCI,5,P1,
DIV,"Grade-III-A,Grade-IV-B,Grade-V-A,Grade-V-B",ENG,6,,
DIV,Grade-IV-A,ENG,6,P1,
MAN,"Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-IX-A,Grade-X-A",SOC,5,,
MAN,Grade-VIII-A,SOC,5,P1,
MOU,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B",TEL,6,,
PRA,"Grade-I-A,Grade-II-A,Grade-II-B,Grade-III-A,Grade-III-B",CSC,4,,
PRA,Grade-I-B,CSC,4,P1,
PRA,"Grade-IV-A,Grade-IV-B",CSC,4,,
ROJ,Grade-VI-A,MTH,5,P1,
ROJ,"Grade-VI-B,Grade-VII-A,Grade-VIII-A,Grade-IX-A,Grade-X-A",MTH,5,,
SAI,"Grade-I-A,Grade-I-B,Grade-II-B",EVS,5,,
SAI,Grade-II-A,EVS,5,P1,
SAI,"Grade-III-A,Grade-III-B",SCI,5,,
SAM,"Grade-VI-A,Grade-VII-A,Grade-VIII-A,Grade-IX-A,Grade-X-A",ENG,5,,
SAM,Grade-VI-B,ENG,5,P1,
SAR,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-III-B",MTH,6,,
SAR,Grade-II-B,MTH,6,P1,
SHA,Grade-V-A,HIT2,2,,0
SHA,Grade-V-B,HIT2,2,,0
SHA,Grade-IX-A,HIN,5,,
SHRA,Grade-VII-A,MTHI,2,,
SMR,"Grade-V-A,Grade-V-B,Grade-VI-A,Grade-VI-B,Grade-VII-A",CSC,4,,
SMR,Grade-VIII-A,CSC,4,,0
SMR,Grade-IX-A,CSC,2,,
SMR,Grade-X-A,CSC,4,,0
SRI,"Grade-III-A,Grade-IV-A,Grade-IV-B,Grade-V-A,Grade-V-B",SOC,5,,
SRI,Grade-III-B,SOC,5,P1,
SRP,"Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A",SCI,5,,
SRP,"Grade-VI-A,Grade-VI-B,Grade-VIII-A",SCII,2,,
SRP,Grade-VII-A,SCII,2,P1,
SRP,Grade-IX-A,BIO,2,,
SRP,Grade-IX-A,SCI,4,,0
SRP,Grade-X-A,BIO,4,,0
SRU,"Grade-VI-A,Grade-VI-B,Grade-VIII-A",MTHI,2,,
SRU,Grade-X-A,SCI,5,,0
SUK,Grade-IX-A,HIT,5,P1,
SUK,Grade-X-A,HIT,5,,0
SUR,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B,Grade-III-A,Grade-III-B,Grade-IV-A,Grade-IV-B,Grade-V-A,Grade-V-B,Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A,Grade-IX-A,Grade-X-A",PT,2,,
SUS,"Grade-I-A,Grade-I-B,Grade-II-A,Grade-II-B",HIN,6,,
UMA,Grade-III-A,HIT2,5,P1,
UMA,Grade-III-B,HIT2,5,,
UMA,"Grade-IV-A,Grade-IV-B",HIT3,2,,
UMA,"Grade-IV-A,Grade-IV-B,Grade-V-A,Grade-V-B,Grade-VI-A,Grade-VI-B,Grade-VII-A,Grade-VIII-A",HIT,5,,
